/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [0][1440/1445]	Time 0.312 (0.324)	Data 0.004 (0.004)	Loss 1.0957 (4.8528)	
begin test
 * MAE 44.853 
 * best MAE 44.853 
epoch 1, processed 1445 samples, lr 0.0000001000
Epoch: [1][0/1445]	Time 0.352 (0.352)	Data 0.217 (0.217)	Loss 2.6685 (2.6685)	
Epoch: [1][30/1445]	Time 0.323 (0.320)	Data 0.003 (0.010)	Loss 2.2498 (4.0658)	
Epoch: [1][60/1445]	Time 0.322 (0.319)	Data 0.003 (0.007)	Loss 1.1689 (4.1047)	
Epoch: [1][90/1445]	Time 0.323 (0.319)	Data 0.003 (0.006)	Loss 2.3887 (4.4207)	
Epoch: [1][120/1445]	Time 0.320 (0.319)	Data 0.003 (0.005)	Loss 6.3574 (5.0205)	
Epoch: [1][150/1445]	Time 0.330 (0.320)	Data 0.003 (0.005)	Loss 11.2533 (4.9532)	
Epoch: [1][180/1445]	Time 0.320 (0.321)	Data 0.003 (0.004)	Loss 1.2047 (5.2322)	
Epoch: [1][210/1445]	Time 0.321 (0.321)	Data 0.003 (0.004)	Loss 2.4868 (5.3832)	
Epoch: [1][240/1445]	Time 0.321 (0.321)	Data 0.003 (0.004)	Loss 2.1448 (5.5223)	
Epoch: [1][270/1445]	Time 0.324 (0.321)	Data 0.003 (0.004)	Loss 1.0046 (5.2974)	
Epoch: [1][300/1445]	Time 0.323 (0.322)	Data 0.003 (0.004)	Loss 2.9966 (5.1790)	
